company,country,genre,name,rating,runtime,score,votes,year
Simcom Limited,Canada,Action,Bullies,R,96,5.4,340,1986
Compact Yellowbill,UK,Adventure,Biggles: Adventures in Time,PG,88,5.8,2243,1986
Lorimar Productions,USA,Drama,American Anthem,PG-13,102,4,1284,1986
Columbia Pictures Corporation,USA,Action,Out of Bounds,R,93,5.4,1016,1986
Crown International Pictures,USA,Comedy,My Chauffeur,R,97,5.6,1426,1986
Rastar Pictures,USA,Comedy,Brighton Beach Memoirs,PG-13,108,6.9,2720,1986
Ministère de la Culture et de la Communication,France,Drama,Summer,R,98,7.8,4612,1986
Cannon Group,USA,Drama,The Naked Cage,R,97,5.5,327,1986
Cannon Screen Entertainment,UK,Horror,Link,R,100,5.9,2080,1986
Edward R. Pressman Film,UK,Thriller,Half Moon Street,R,90,5.4,2157,1986
Aaron Spelling Productions,USA,Drama,"'night, Mother",PG-13,96,7.6,1840,1986
Blake Edwards,USA,Action,A Fine Mess,PG,90,4.5,1164,1986
Chroma III Productions,USA,Comedy,Hardbodies 2,R,88,2.9,895,1986
Fons Rademakers Produktie,Netherlands,Drama,The Assault,PG,155,7.3,2694,1986
Griffon Productions,USA,Comedy,Willy/Milly,PG-13,86,5.7,323,1986
Heron Communications,USA,Drama,The Ladies Club,R,85,5.3,154,1986
Delphi V Productions,USA,Action,Let's Get Harry,R,102,5.2,978,1986
De Laurentiis Entertainment Group (DEG),USA,Adventure,Tai-Pan,R,127,5.5,1340,1986
Scary Stuff,USA,Comedy,Deadtime Stories,R,93,4.6,973,1986
Escalante Productions,USA,Action,Heat,R,101,5.5,1358,1986
Kings Road Entertainment,USA,Comedy,Touch and Go,R,101,5.8,684,1986
Canadian Broadcasting Corporation (CBC),Canada,Biography,The Boy in Blue,R,100,5.4,907,1986
Universal Pictures,USA,Comedy,Sweet Liberty,PG,106,5.7,2300,1986
Marquis,USA,Comedy,Killer Party,R,91,4.7,1265,1986
Rondo Productions,USA,Drama,Parting Glances,Not specified,90,7.8,2330,1986
Nelvana,Canada,Animation,Care Bears Movie II: A New Generation,G,76,5.3,1760,1986
Columbia Pictures Corporation,USA,Biography,"Jo Jo Dancer, Your Life Is Calling",R,97,6.3,1288,1986
Balcor Film Investors,USA,Action,Jake Speed,PG,100,5.3,632,1986
